groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
3,11,2,19,2,formal,200,120,0.03,0.6,square,stranger,j,j,0.234209700021893,1
3,11,2,19,2,formal,201,120,0.03,0.6,circle,self,j,f,0.234230500063859,0
3,11,2,19,2,formal,202,120,0.03,0.6,square,stranger,j,j,0.23417840001639,1
3,11,2,19,2,formal,203,120,0.03,0.6,circle,stranger,f,j,0.234161300002597,0
3,11,2,19,2,formal,204,120,0.03,0.6,square,self,f,j,0.234684800030664,0
3,11,2,19,2,formal,205,120,0.03,0.6,square,stranger,j,j,0.234242900041863,1
3,11,2,19,2,formal,206,120,0.03,0.6,circle,self,j,j,0.234150600037538,1
3,11,2,19,2,formal,207,120,0.03,0.6,square,self,f,j,0.234307100065053,0
3,11,2,19,2,formal,208,120,0.03,0.6,circle,stranger,f,j,0.234137699939311,0
3,11,2,19,2,formal,209,120,0.03,0.6,square,self,f,j,0.234302000026219,0
3,11,2,19,2,formal,210,120,0.03,0.6,circle,self,j,j,0.23385090008378,1
3,11,2,19,2,formal,211,120,0.03,0.6,square,stranger,j,j,0.234625699929893,1
3,11,2,19,2,formal,212,120,0.03,0.6,circle,stranger,f,f,0.234282999997959,1
3,11,2,19,2,formal,213,120,0.03,0.6,square,stranger,j,j,0.234288800042123,1
3,11,2,19,2,formal,214,120,0.03,0.6,circle,self,j,,NaN,0
3,11,2,19,2,formal,215,120,0.03,0.6,square,self,f,,NaN,0
3,11,2,19,2,formal,216,120,0.03,0.6,circle,stranger,f,j,0.234258300042711,0
3,11,2,19,2,formal,217,120,0.03,0.6,square,self,f,j,0.245321300113574,0
3,11,2,19,2,formal,218,120,0.03,0.6,square,stranger,j,j,0.235266299918294,1
3,11,2,19,2,formal,219,120,0.03,0.6,circle,stranger,f,f,0.234177300008014,1
3,11,2,19,2,formal,220,120,0.03,0.6,circle,self,j,j,0.234224400017411,1
3,11,2,19,2,formal,221,120,0.03,0.6,circle,self,j,j,0.234221699996851,1
3,11,2,19,2,formal,222,120,0.03,0.6,square,stranger,j,j,0.234206099994481,1
3,11,2,19,2,formal,223,120,0.03,0.6,square,self,f,j,0.234423300018534,0
3,11,2,19,2,formal,224,120,0.03,0.6,circle,stranger,f,j,0.234022499993443,0
3,11,2,19,2,formal,225,120,0.03,0.6,circle,stranger,f,j,0.317616499960423,0
3,11,2,19,2,formal,226,120,0.03,0.6,circle,self,j,j,0.233835899969563,1
3,11,2,19,2,formal,227,120,0.03,0.6,square,stranger,j,j,0.234092699945904,1
3,11,2,19,2,formal,228,120,0.03,0.6,square,self,f,j,0.234450399992056,0
3,11,2,19,2,formal,229,120,0.03,0.6,circle,stranger,f,j,0.23433320003096,0
3,11,2,19,2,formal,230,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,formal,231,120,0.03,0.6,square,self,f,,NaN,0
3,11,2,19,2,formal,232,120,0.03,0.6,circle,self,j,j,0.233993100002408,1
3,11,2,19,2,formal,233,120,0.03,0.6,square,self,f,j,0.235722199897282,0
3,11,2,19,2,formal,234,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,formal,235,120,0.03,0.6,circle,self,j,j,0.233988299965858,1
3,11,2,19,2,formal,236,120,0.03,0.6,circle,stranger,f,j,0.24994060001336,0
3,11,2,19,2,formal,237,120,0.03,0.6,square,self,f,,NaN,0
3,11,2,19,2,formal,238,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,formal,239,120,0.03,0.6,circle,self,j,j,0.23412969999481,1
3,11,2,19,2,formal,240,120,0.03,0.6,circle,stranger,f,j,0.314729599980637,0
3,11,2,19,2,formal,241,120,0.03,0.6,square,self,f,j,0.234182400046848,0
3,11,2,19,2,formal,242,120,0.03,0.6,square,stranger,j,j,0.234231900074519,1
3,11,2,19,2,formal,243,120,0.03,0.6,circle,self,j,j,0.234402899979614,1
3,11,2,19,2,formal,244,120,0.03,0.6,circle,stranger,f,j,0.234665399999358,0
3,11,2,19,2,formal,245,120,0.03,0.6,circle,self,j,j,0.234189199982211,1
3,11,2,19,2,formal,246,120,0.03,0.6,square,self,f,j,0.234257599920966,0
3,11,2,19,2,formal,247,120,0.03,0.6,square,stranger,j,j,0.234146400005557,1
3,11,2,19,2,formal,248,120,0.03,0.6,circle,stranger,f,j,0.234144999994896,0
3,11,2,19,2,formal,249,120,0.03,0.6,square,self,f,j,0.234108500066213,0
3,11,2,19,2,formal,250,120,0.03,0.6,circle,stranger,f,j,0.234568900079466,0
3,11,2,19,2,formal,251,120,0.03,0.6,circle,self,j,j,0.234407300013117,1
3,11,2,19,2,formal,252,120,0.03,0.6,square,stranger,j,j,0.234080199967138,1
3,11,2,19,2,formal,253,120,0.03,0.6,circle,self,j,j,0.234514100011438,1
3,11,2,19,2,formal,254,120,0.03,0.6,square,stranger,j,j,0.234223200008273,1
3,11,2,19,2,formal,255,120,0.03,0.6,circle,stranger,f,j,0.234510199981742,0
3,11,2,19,2,formal,256,120,0.03,0.6,square,self,f,j,0.234581200056709,0
3,11,2,19,2,formal,257,120,0.03,0.6,square,self,f,j,0.249640799942426,0
3,11,2,19,2,formal,258,120,0.03,0.6,square,stranger,j,j,0.235408899956383,1
3,11,2,19,2,formal,259,120,0.03,0.6,circle,self,j,j,0.23406199994497,1
3,11,2,19,2,formal,260,120,0.03,0.6,circle,stranger,f,j,0.234273800044321,0
3,11,2,19,2,formal,261,120,0.03,0.6,square,self,f,j,0.234079799964093,0
3,11,2,19,2,formal,262,120,0.03,0.6,square,stranger,j,j,0.234054500004277,1
3,11,2,19,2,formal,263,120,0.03,0.6,circle,self,j,j,0.234053499996662,1
3,11,2,19,2,formal,264,120,0.03,0.6,circle,stranger,f,j,0.233979200012982,0
3,11,2,19,2,formal,265,120,0.03,0.6,circle,stranger,f,j,0.234277199953794,0
3,11,2,19,2,formal,266,120,0.03,0.6,circle,self,j,j,0.234385100076906,1
3,11,2,19,2,formal,267,120,0.03,0.6,square,stranger,j,j,0.235018200008199,1
3,11,2,19,2,formal,268,120,0.03,0.6,square,self,f,j,0.260176399955526,0
3,11,2,19,2,formal,269,120,0.03,0.6,square,stranger,j,j,0.234335400047712,1
3,11,2,19,2,formal,270,120,0.03,0.6,circle,stranger,f,j,0.235515400068834,0
3,11,2,19,2,formal,271,120,0.03,0.6,circle,self,j,j,0.234087899909355,1
3,11,2,19,2,formal,272,120,0.03,0.6,square,self,f,j,0.234171699965373,0
3,11,2,19,2,formal,273,120,0.03,0.6,square,stranger,j,j,0.234596199938096,1
3,11,2,19,2,formal,274,120,0.03,0.6,square,self,f,j,0.234091800055467,0
3,11,2,19,2,formal,275,120,0.03,0.6,circle,stranger,f,j,0.234015099937096,0
3,11,2,19,2,formal,276,120,0.03,0.6,circle,self,j,j,0.234453200013377,1
3,11,2,19,2,formal,277,120,0.03,0.6,circle,stranger,f,j,0.284143100026995,0
3,11,2,19,2,formal,278,120,0.03,0.6,square,self,f,j,0.234205299988389,0
3,11,2,19,2,formal,279,120,0.03,0.6,square,stranger,j,f,0.234190899995156,0
3,11,2,19,2,formal,280,120,0.03,0.6,circle,self,j,f,0.234014400048181,0
3,11,2,19,2,formal,281,120,0.03,0.6,circle,stranger,f,f,0.234518100041896,1
3,11,2,19,2,formal,282,120,0.03,0.6,circle,self,j,,NaN,0
3,11,2,19,2,formal,283,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,formal,284,120,0.03,0.6,square,self,f,j,0.233876400045119,0
3,11,2,19,2,formal,285,120,0.03,0.6,circle,self,j,f,0.285936300060712,0
3,11,2,19,2,formal,286,120,0.03,0.6,square,stranger,j,j,0.234266399987973,1
3,11,2,19,2,formal,287,120,0.03,0.6,square,self,f,j,0.234502799925394,0
3,11,2,19,2,formal,288,120,0.03,0.6,circle,stranger,f,j,0.234433699981309,0
3,11,2,19,2,formal,289,120,0.03,0.6,circle,self,j,f,0.234246199950576,0
3,11,2,19,2,formal,290,120,0.03,0.6,square,stranger,j,j,0.234288499923423,1
3,11,2,19,2,formal,291,120,0.03,0.6,square,self,f,j,0.234293899964541,0
3,11,2,19,2,formal,292,120,0.03,0.6,circle,stranger,f,j,0.234504800057039,0
3,11,2,19,2,formal,293,120,0.03,0.6,square,stranger,j,j,0.234357199980877,1
3,11,2,19,2,formal,294,120,0.03,0.6,circle,self,j,j,0.234853100031614,1
3,11,2,19,2,formal,295,120,0.03,0.6,square,self,f,f,0.234178300015628,1
3,11,2,19,2,formal,296,120,0.03,0.6,circle,stranger,f,j,0.234182400046848,0
3,11,2,19,2,formal,297,120,0.03,0.6,square,stranger,j,j,0.234441600041464,1
3,11,2,19,2,formal,298,120,0.03,0.6,circle,self,j,j,0.234236199990846,1
3,11,2,19,2,formal,299,120,0.03,0.6,circle,stranger,f,f,0.234534599934705,1
3,11,2,19,2,formal,300,120,0.03,0.6,square,self,f,j,0.234488799935207,0
3,11,2,19,2,formal,301,120,0.03,0.6,circle,self,j,j,0.234340300085023,1
3,11,2,19,2,formal,302,120,0.03,0.6,circle,stranger,f,j,0.235013700090349,0
3,11,2,19,2,formal,303,120,0.03,0.6,square,stranger,j,f,0.23419639992062,0
3,11,2,19,2,formal,304,120,0.03,0.6,square,self,f,j,0.234161400003359,0
3,11,2,19,2,formal,305,120,0.03,0.6,square,stranger,j,j,0.234249000088312,1
3,11,2,19,2,formal,306,120,0.03,0.6,square,self,f,j,0.234439200023189,0
3,11,2,19,2,formal,307,120,0.03,0.6,circle,self,j,j,0.239683100022376,1
3,11,2,19,2,formal,308,120,0.03,0.6,circle,stranger,f,j,0.234137299936265,0
3,11,2,19,2,formal,309,120,0.03,0.6,square,stranger,j,j,0.234014299931005,1
3,11,2,19,2,formal,310,120,0.03,0.6,square,self,f,j,0.234022099990398,0
3,11,2,19,2,formal,311,120,0.03,0.6,circle,stranger,f,f,0.234308299957775,1
3,11,2,19,2,formal,312,120,0.03,0.6,circle,self,j,j,0.234221400110982,1
