subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
59,27,13,256,1008,1264,self,3.8851732630121427,2.9747289105670824,0.2811979849061107,1.6686851910424498,0.6921979849061111,1
59,29,13,256,1008,1264,self,3.816434274549046,3.370714368003905,0.2926995828818635,1.6794263971983043,0.6416995828818637,1
59,31,13,256,1008,1264,self,4.701235713603128,2.161756463147782,0.26930149230589845,1.6998256431398977,0.3503014923058985,1
59,32,13,256,1008,1264,stranger,1.1977166543031283,3.3733802531119887,0.3096135745803327,1.9091596673288054,1.6006135745803012,0
59,33,13,256,1008,1264,self,3.784637273069491,2.449327199673922,0.17089040011899442,1.097129495352004,0.6528904001189948,1
59,35,13,256,1008,1264,self,3.8153022184453924,3.287300908248236,0.24110639601778444,1.947930050210391,0.43210639601778456,1
59,36,13,256,1008,1264,stranger,0.12127489419334303,2.5228440669684558,0.24521065507129905,1.7592633204856796,1.2112106550712998,1
59,37,13,256,1008,1264,self,4.484022307067627,3.3931542956891363,0.29522465643915397,1.30168060140986,0.6092246564391541,1
59,39,13,256,1008,1264,self,4.234763697172149,2.3035249436611682,0.28038400067520036,2.132972779647838,0.3213840006752004,1
59,41,13,256,1008,1264,self,4.76497159231567,4.371468271855277,0.28131459014576654,1.2678520562667672,0.963314590145767,1
59,42,13,256,1008,1264,stranger,1.0992383728187987,3.0493186713784564,0.25343047100810445,1.862849093188021,0.6844304710081048,1
59,43,13,256,1008,1264,self,4.002755485239712,1.6140116296701723,0.2669674876013637,1.6040116296701723,0.2869674876013637,1
59,44,13,256,1008,1264,stranger,1.0953337385309236,2.0278416213081707,0.300613847248903,2.017841621308171,0.302613847248903,1
59,45,13,256,1008,1264,self,3.837681836504768,2.486944662396787,0.23938629388353194,1.0333898468896872,0.7493862938835323,1
59,46,13,256,1008,1264,stranger,1.4454592716192438,3.642323789878738,0.31679046517008624,1.6653320990292377,1.6107904651700546,1
59,47,13,256,1008,1264,self,4.725760225212852,3.343331119346343,0.2894131612490071,1.5320395746181568,0.7974131612490074,1
59,49,13,256,1008,1264,self,4.273176836762911,3.0347003113457633,0.292124883223821,2.390050289321282,0.44012488322382115,1
59,50,13,256,1008,1264,stranger,1.2450501719755722,3.8444509115110623,0.2339480836287144,0.8346219813402569,0.5959480836287147,0
59,51,13,256,1008,1264,self,4.275450082373455,3.3278488655031686,0.2557290962666408,2.567739141723861,0.4087290962666409,1
59,52,13,256,1008,1264,stranger,0.402196014219554,3.227191182244984,0.2321242027365631,2.1273153637367326,0.9211242027365636,1
59,53,13,256,1008,1264,self,4.295580480626057,4.394364321386689,0.2135838794991607,2.492996606871095,0.6245838794991609,1
59,54,13,256,1008,1264,stranger,0.7794737785564059,1.965576058533498,0.24838145838074013,1.1787536070727345,1.0573814583807408,1
59,55,13,256,1008,1264,self,4.441243676430939,3.919541838220029,0.34179080256246697,1.7761069023264322,0.8377908025624674,1
59,56,13,256,1008,1264,stranger,1.2786889357193965,4.496715088381331,0.24938263685165896,1.0126964814218253,1.3083826368516531,0
59,57,13,256,1008,1264,self,4.0910617237935085,2.88163128935453,0.30716317188897807,0.9790755829998536,1.0311631718889787,1
59,58,13,256,1008,1264,stranger,1.090840273190428,3.5237727371830694,0.17445381602184407,1.6335897511443696,0.7994538160218445,1
59,59,13,256,1008,1264,self,4.339136380580089,4.743342944388534,0.2934258389849565,1.8891216291760737,0.8244258389849568,1
59,60,13,256,1008,1264,stranger,0.6832070636447907,2.388814481619816,0.25728282806684005,1.8668975739041906,0.9222828280668405,1
60,1,131,429,1497,1926,self,7.3881897390396585,4.048792823043872,0.27551036409310936,1.333768230659134,0.6295103640931097,1
60,2,131,429,1497,1926,stranger,1.3842775046054434,2.920187938207533,0.2714386363814781,0.3037678593752662,0.33143863638147814,0
60,3,131,429,1497,1926,self,7.150006466124702,2.5934418764235545,0.24984180040146084,1.8911529055113108,0.30784180040146086,1
60,4,131,429,1497,1926,stranger,2.084697154782477,4.090777642390273,0.2390729479501026,1.7165211084946268,1.2210729479501032,1
60,5,131,429,1497,1926,self,7.369737983237295,2.9370833486564454,0.29015864004048153,1.7660195321988783,0.43515864004048166,1
60,6,131,429,1497,1926,stranger,1.6410282701904018,3.8118031083028914,0.28434129186293666,2.11115758353209,1.5803412918629047,1
60,7,131,429,1497,1926,self,6.995767153957853,2.7165591862310854,0.30103080684088696,1.34818758302791,0.47403080684088705,1
60,8,131,429,1497,1926,stranger,1.8870108388328635,4.555787131428522,0.21371712706890117,2.099189968793402,1.4467171270688761,1
60,9,131,429,1497,1926,self,7.343337165449604,3.2881262574223564,0.3124930144989524,1.7999167102055913,0.6014930144989525,1
60,10,131,429,1497,1926,stranger,1.887174248466199,2.0209444201128317,0.19493674120285243,2.010944420112832,0.19593674120285243,1
60,11,131,429,1497,1926,self,7.156966390781965,3.5289178018396203,0.21386325789133007,1.8261578891345494,0.44986325789133025,1
60,12,131,429,1497,1926,stranger,1.625195116135361,1.8828758431277983,0.3091944975330574,1.8728758431277983,0.3191944975330574,1
60,13,131,429,1497,1926,self,6.898663266371619,4.084411205078325,0.27538349617153957,1.4635761239992195,0.6813834961715399,1
60,14,131,429,1497,1926,stranger,1.7299239992875755,3.3076125565531576,0.2793930907927286,1.5890174381633273,0.7103930907927289,1
60,15,131,429,1497,1926,self,7.6048639661531325,3.440231817732991,0.294246547192886,1.27755710861507,0.45624654719288615,1
60,16,131,429,1497,1926,stranger,1.954005082938296,2.5388018099500687,0.3055911887411528,1.1308502792777315,1.7695911887411024,1
60,17,131,429,1497,1926,self,6.99439957417391,4.146617487828532,0.29973290040919376,1.653888289669412,0.5607329004091939,1
60,19,131,429,1497,1926,self,7.608080293528753,3.4260842908324634,0.2632938247154369,1.820001370864327,0.515293824715437,1
60,20,131,429,1497,1926,stranger,1.7049217520257782,3.6022988632229533,0.2717093759119733,2.1068946013885568,1.179709375911974,1
60,21,131,429,1497,1926,self,6.522630582873911,3.4352927058997693,0.1986337323006507,1.7181948337943538,0.629633732300651,1
60,22,131,429,1497,1926,stranger,2.31640726448951,2.2272991925202565,0.25542509849135403,1.3644831995879254,0.7704250984913543,1
60,23,131,429,1497,1926,self,7.681106957658454,2.65756463424956,0.3141851201903647,1.8082573828413087,0.4441851201903648,1
60,24,131,429,1497,1926,stranger,2.098144289852943,2.1908696199306714,0.26977904837219285,1.928557620124963,0.3457790483721929,1
60,25,131,429,1497,1926,self,6.560328758860676,3.219838767277464,0.2922500897157833,1.5900102505161384,0.5872500897157835,1
60,27,131,429,1497,1926,self,6.76628451161591,2.7262557638494656,0.28802656945475175,1.7642262075079502,0.46402656945475185,1
60,29,131,429,1497,1926,self,7.254474405623821,1.798091918370576,0.2958904370600485,1.788091918370576,0.3108904370600485,1
60,30,131,429,1497,1926,stranger,1.535525195675427,3.90215020634313,0.26698990933134154,1.7689560281446668,1.1459899093313421,1
60,31,131,429,1497,1926,self,7.676537594311235,3.5339629285011442,0.31610017920954003,2.142463269530514,0.5561001792095402,1
60,32,131,429,1497,1926,stranger,1.4224489782196426,3.464135639677586,0.26348154521491224,2.428210650873228,0.8494815452149127,1
60,33,131,429,1497,1926,self,7.253614231600579,4.521127746493271,0.24202033069630485,2.300521113490491,0.5810203306963051,1
60,34,131,429,1497,1926,stranger,2.2004341856683407,2.416394665237007,0.295390558528224,2.121983447902241,0.8573905585282244,1
60,35,131,429,1497,1926,self,7.337929859760843,3.3583707713573197,0.3149432146447038,1.7117209827361544,0.4529432146447039,1
60,36,131,429,1497,1926,stranger,1.5833531233669118,3.0936920546693223,0.23743269556906105,2.4113102649284075,0.3784326955690611,1
60,37,131,429,1497,1926,self,6.957505070806482,2.2894402110232583,0.2533369066699729,1.9326873880372855,0.3003369066699729,1
60,38,131,429,1497,1926,stranger,2.1101510613180126,4.295507638616948,0.28571656716533017,1.7724644879349196,1.3447165671653243,1
60,39,131,429,1497,1926,self,7.289491936027675,3.8064977719052893,0.22700156607016586,2.4405780517520195,0.44600156607016606,1
60,40,131,429,1497,1926,stranger,1.6684598380239306,2.940298949142222,0.21209610832310094,1.3338845239307267,0.7860961083231013,1
60,41,131,429,1497,1926,self,7.161137631457055,3.657558147449879,0.2520995219120954,1.3473964858543208,0.5350995219120955,1
60,42,131,429,1497,1926,stranger,1.8459310554157742,1.4878622685777583,0.2588662626650196,1.43188423694414,0.29986626266501964,1
60,43,131,429,1497,1926,self,7.47171101988806,2.4616361948269088,0.19775917820312888,1.201026388588442,0.375759178203129,1
60,44,131,429,1497,1926,stranger,1.6668602135703179,2.7845101524740645,0.3131938232673597,2.186571093712578,0.7831938232673601,1
60,45,131,429,1497,1926,self,6.993634762589357,2.6000235221191006,0.32442550069233633,1.275325557908226,0.4194255006923364,1
60,46,131,429,1497,1926,stranger,1.8912841728215495,2.601458075536669,0.2314101105868405,0.829431741283878,0.895410110586841,1
60,47,131,429,1497,1926,self,7.4651832284445625,2.7604629369413596,0.2891905215921472,1.9004571499631269,0.35719052159214726,1
60,48,131,429,1497,1926,stranger,2.0776189012036443,2.887630592112658,0.21394064318743827,1.8685630433126619,0.35594064318743834,1
60,49,131,429,1497,1926,self,6.630424775608262,3.1611597848360518,0.2951389933342246,1.3030780776151443,0.5581389933342248,1
60,50,131,429,1497,1926,stranger,2.25856490507055,2.9259572414498067,0.24013941774540004,1.7535775075979692,0.7761394177454004,1
60,51,131,429,1497,1926,self,7.112778807844393,3.2623925134994214,0.2387119202688849,1.280271813474377,0.6437119202688852,1
60,52,131,429,1497,1926,stranger,2.1003020926063147,3.089057180502868,0.26863177182184167,1.3901226221886354,1.5276317718218138,1
60,53,131,429,1497,1926,self,7.8028337927913185,3.9485918930463706,0.26340378468086334,2.0216820060581915,0.5044037846808636,1
60,54,131,429,1497,1926,stranger,1.2973047352318967,1.928026276842483,0.26882447984619956,1.421717553580373,0.5838244798461998,1
60,55,131,429,1497,1926,self,7.215741275901017,3.8761732684829595,0.20965178062868675,2.049205336635488,0.4306517806286869,1
60,56,131,429,1497,1926,stranger,2.094405628913756,2.4000766811189624,0.24969634578772779,1.6402741183289613,0.4016963457877279,1
60,57,131,429,1497,1926,self,7.277593834294992,3.336662706874943,0.3039375782643142,1.0655742120067868,0.7479375782643145,1
60,58,131,429,1497,1926,stranger,2.0631676741618152,2.8095915435395216,0.3223489608733309,2.0081987638455705,0.9823489608733313,1
60,59,131,429,1497,1926,self,7.297517467219739,2.4300135275266648,0.2569763939588406,1.8344942393765806,0.2999763939588406,1
60,60,131,429,1497,1926,stranger,1.6723501857744472,2.8129136781332913,0.2584594398652041,2.1316839698351773,1.0714594398652046,1
61,1,48,35,1469,1504,self,2.8160007227636648,2.3486650838648857,0.30579368613956703,1.1076685528514718,0.6407936861395673,1
61,2,48,35,1469,1504,stranger,0.223699978244849,2.4744619837553072,0.3509177075418399,1.812976187836437,1.0739177075418405,1
61,3,48,35,1469,1504,self,2.122501603157415,4.20491137656091,0.26450379329433193,1.3740200468272634,0.8405037932943323,1
61,5,48,35,1469,1504,self,2.096980305200928,3.3098011703840995,0.25265661443266696,1.5206946738983167,0.7186566144326674,1
61,6,48,35,1469,1504,stranger,0.48197422699716697,2.737251386895601,0.26979078932262957,0.7065496688365309,0.86979078932263,0
61,7,48,35,1469,1504,self,2.345211815532178,2.209853890242435,0.2631591755434261,1.5659279303084541,0.4121591755434262,1
61,9,48,35,1469,1504,self,2.0025031251919887,2.160479317601328,0.20853461834066814,1.498588599878882,0.5735346183406684,1
61,10,48,35,1469,1504,stranger,0.9952789841551515,3.5063223823613017,0.26056342490860385,2.0878344359536167,1.2385634249086046,1
61,11,48,35,1469,1504,self,1.760103655681364,3.840185914198751,0.2610137628107951,0.7204186017344024,1.258013762810796,1
61,12,48,35,1469,1504,stranger,0.4120256697308671,2.458163742964658,0.21837471122389024,1.6528128040662466,0.3153747112238903,1
61,13,48,35,1469,1504,self,2.3350343233672284,2.258758731294578,0.262628295463194,1.5210394585319658,0.33262829546319406,1
61,14,48,35,1469,1504,stranger,0.5964640382093815,2.4102741350090646,0.29076354300247526,1.7506757316324708,0.6087635430024755,1
61,15,48,35,1469,1504,self,1.75006978283386,2.786383357111614,0.34276080722493146,1.4508146181512065,0.6677608072249317,1
61,16,48,35,1469,1504,stranger,0.930133057552192,1.9747994050389175,0.28458018817058534,0.9529920919247109,0.5505801881705855,0
61,17,48,35,1469,1504,self,2.224541700969403,2.480897211927578,0.2674153542457844,1.879011017989514,0.8374153542457847,1
61,19,48,35,1469,1504,self,1.9775749588780027,2.9264927935300458,0.27560200205010005,1.4102016112928568,0.7926020020501003,1
61,21,48,35,1469,1504,self,2.203522938422333,3.9273849515921713,0.23333633872985002,2.0900617656376053,0.9323363387298506,1
61,22,48,35,1469,1504,stranger,0.99769332340753,2.531564061134362,0.21740774500145307,1.1445605339060096,1.0574077450014536,1
61,23,48,35,1469,1504,self,2.7702261910137445,3.3266390216412143,0.2777817845086311,1.111641260066407,1.7327817845085818,1
61,24,48,35,1469,1504,stranger,0.1696373306364154,2.787383065276393,0.3147169936499815,1.7093417803812632,1.101716993649982,1
61,25,48,35,1469,1504,self,2.7966886749598476,2.165323223452836,0.22956984129794564,2.0250509005038477,0.24156984129794565,1
61,26,48,35,1469,1504,stranger,0.982094493985199,3.976772446302716,0.2749152086144018,1.315327278492202,1.2179152086144025,0
61,27,48,35,1469,1504,self,2.161880599896578,0.8488472546674677,0.28040017728450756,0.8388472546674677,0.28140017728450756,1
61,28,48,35,1469,1504,stranger,0.32153029807864275,2.3052849589335462,0.23047233743147102,1.7601855909080688,0.40947233743147116,1
61,29,48,35,1469,1504,self,2.512055167026634,3.123522448780515,0.2830019619596688,2.006178821575186,1.4190019619596546,1
61,30,48,35,1469,1504,stranger,0.3766472138725785,3.7336974364249045,0.24415225878628508,2.2613303536293548,1.0971522587862856,1
61,31,48,35,1469,1504,self,2.054751676978945,2.235049992216282,0.26170204864128654,2.2250499922162823,0.26270204864128655,1
61,33,48,35,1469,1504,self,1.732701902472994,3.4428431444477687,0.26896828265640094,1.5800794326838639,0.7319682826564013,1
61,34,48,35,1469,1504,stranger,0.5802636091670759,3.3389641420101084,0.2472746401797165,1.7791618176031032,1.7532746401796615,1
61,35,48,35,1469,1504,self,2.6616407760883805,3.5292308468639515,0.23753290695578444,1.7143827654684327,0.8625329069557849,1
61,36,48,35,1469,1504,stranger,1.3213788053850866,2.8331333900244835,0.2607079355952591,1.7089588019203379,0.9617079355952596,1
61,37,48,35,1469,1504,self,2.473992020737846,2.9994859271457814,0.3202622197146087,1.1258755752883138,0.9982622197146092,1
61,38,48,35,1469,1504,stranger,0.5936097965822809,2.757330541380151,0.2585734978084654,1.830751229451863,0.5255734978084656,1
61,39,48,35,1469,1504,self,2.0120848484615665,3.6886880792680774,0.24562174342345539,1.9900686950460051,0.8696217434234559,1
61,40,48,35,1469,1504,stranger,0.6318588385376991,4.319466043422574,0.2973157070996593,1.9657800935936538,1.3563157070996534,1
61,41,48,35,1469,1504,self,2.9141262463593125,3.7402896525139218,0.24221964025064743,1.5596475040308695,1.7722196402505896,1
61,43,48,35,1469,1504,self,2.8017329012082546,3.3288667637210696,0.26617007200584725,1.3228305074389675,0.9641700720058477,1
61,45,48,35,1469,1504,self,2.230741000737243,2.813126561886437,0.2842168245925325,1.2653841516601707,0.8692168245925329,1
61,46,48,35,1469,1504,stranger,0.7327958942799966,4.0155519415682095,0.2086433610456918,1.2134645934907782,0.8026433610456922,1
